hypothesis,frequency_hz,zout_mag_ohm,zout_phase_deg,zout_re_ohm,zout_im_ohm,network_current_mag_a
core_all_branches,20,7499.882111298661,-0.29969615706351677,7499.779512911336,-39.22933969709928,0.00013333542916541157
core_all_branches,50,7499.263307640894,-0.7491899624235673,7498.6222146123,-98.05630959792872,0.00013334643137294751
core_all_branches,100,7497.054829589791,-1.4980199365269398,7494.492553798611,-195.99101747980384,0.00013338571248714158
core_all_branches,200,7488.244820552126,-2.9931670583100467,7478.029125577857,-391.01264625970714,0.0001335426423633232
core_all_branches,500,7427.623335571436,-7.43342251148712,7365.200571183983,-960.9417054933494,0.0001346325674877624
core_all_branches,1000,7224.930591998935,-14.533969877946772,6993.725757005098,-1813.1249529487902,0.0001384096341503162
core_all_branches,2000,6576.37044532063,-26.900366810276804,5864.771868273908,-2975.415797361712,0.00015205956056072584
core_all_branches,3200,5694.076537231807,-38.187181649004806,4475.516970962855,-3520.263549008402,0.00017562110264259868
core_all_branches,4200,5031.149405096194,-45.201911909533315,3545.0008580049134,-3570.0746845331137,0.0001987617380209524
core_all_branches,5000,4571.8416210734695,-49.665164542495624,2959.1398381495874,-3485.0003194340916,0.00021873023671480554
core_all_branches,10000,2795.4172365512673,-65.1818790175985,1173.3460966363348,-2537.2458422305476,0.0003577283515764929
core_all_branches,13600,2157.223532859598,-70.3233135593881,726.3633688098932,-2031.2581389804664,0.00046355882214691406
core_all_branches,20000,1530.6747236613453,-75.30491808358866,388.2937827568178,-1480.6056355181609,0.0006533066657088442
core_without_lr_bridge,20,14999.803943905079,-0.24299655490541822,14999.669044540506,-63.61532711311198,0.00006666753803847771
core_without_lr_bridge,50,14998.774848333274,-0.6074461788018176,14997.93191725495,-159.013069840306,0.00006667211222996152
core_without_lr_bridge,100,14995.102232641293,-1.2145696703545934,14991.733218986114,-317.84596601526675,0.00006668844163150838
core_without_lr_bridge,200,14980.454203897569,-2.426565016874816,14967.021338291035,-634.25579556924,0.00006675365021574734
core_without_lr_bridge,500,14879.7769199166,-6.022149072851014,14797.661577139044,-1561.0807265947344,0.0000672053086132964
core_without_lr_bridge,1000,14544.572791274446,-11.748906509902136,14239.854665457093,-2961.6105056777483,0.00006875416791890363
core_without_lr_bridge,2000,13484.628672630888,-21.624348574923278,12535.580003625262,-4969.350501972018,0.00007415851220506003
core_without_lr_bridge,3200,12058.99687922009,-30.609363584980283,10378.682087392814,-6140.225066059988,0.00008292563718323765
core_without_lr_bridge,4200,10978.923230154072,-36.325401074907916,8845.342357363037,-6503.589307040848,0.00009108361348710936
core_without_lr_bridge,5000,10212.774838981586,-40.09207348472441,7812.880027852091,-6577.2087987325785,0.00009791658151348412
core_without_lr_bridge,10000,6943.810573235453,-54.56981641362418,4025.399924860688,-5657.97319911539,0.00014401314515324575
core_without_lr_bridge,13600,5601.875419317423,-59.93942374900809,2806.065274819619,-4848.402405638816,0.00017851164568059025
core_without_lr_bridge,20000,4188.205534934428,-65.48778758335045,1737.6328198381007,-3810.7345468133663,0.0002387657414754017
core_without_m0_shunt,20,7499.9232551341465,-0.2591982317928628,7499.846511053599,-33.92850629113492,0.00013333469770046512
core_without_m0_shunt,50,7499.520383236478,-0.6479723735444141,7499.040797143921,-84.81215331819897,0.00013334186039887022
core_without_m0_shunt,100,7498.082084835062,-1.2957790392212873,7496.164660123271,-169.55924994966742,0.00013336743832432945
core_without_m0_shunt,200,7492.337155473851,-2.5902339392544347,7484.682140172535,-338.59904293469907,0.00013346970100903784
core_without_m0_shunt,500,7452.489024787401,-6.452581544411352,7405.279021943556,-837.5173262323374,0.00013418335762373394
core_without_m0_shunt,1000,7315.196859396058,-12.745518122935982,7134.947345562394,-1613.8870678489545,0.00013670172098178638
core_without_m0_shunt,2000,6833.287892215569,-24.341488970051927,6225.843122386653,-2816.5050742597123,0.00014634243658008213
core_without_m0_shunt,3200,6075.474852222495,-35.89788220973436,4921.519290665061,-3562.308598591597,0.00016459618784105175
core_without_m0_shunt,4200,5437.447914978014,-43.531729878881436,3942.111977079834,-3745.0758321110766,0.00018390980762232154
core_without_m0_shunt,5000,4967.976161501549,-48.51707478924927,3290.771618833022,-3721.7750192523404,0.00020128921063456844
