scenario,mode,ueHighRms,releaseOhm,tauSeconds,time,ueRms,averageCurrentAmp,vCapEquivalentVolt
limiter_nominal,limiter,8,1000,0.5,0,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.01,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.02,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.03,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.04,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.05,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.06,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.07,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.08,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.09,0,0,0
limiter_nominal,limiter,8,1000,0.5,0.1,8,5.616197411484305e-9,1.1221169912666165e-8
limiter_nominal,limiter,8,1000,0.5,0.11,8,5.616197411484305e-9,1.2220713557990037e-7
limiter_nominal,limiter,8,1000,0.5,0.12,8,5.616197411484305e-9,2.3099543188259143e-7
limiter_nominal,limiter,8,1000,0.5,0.13,8,5.616197411484305e-9,3.3762957558979347e-7
limiter_nominal,limiter,8,1000,0.5,0.14,8,5.616197411484305e-9,4.4215222178079495e-7
limiter_nominal,limiter,8,1000,0.5,0.15,8,5.616197411484305e-9,5.44605180907725e-7
limiter_nominal,limiter,8,1000,0.5,0.16,8,5.616197411484305e-9,6.450294355202924e-7
limiter_nominal,limiter,8,1000,0.5,0.17,8,5.616197411484305e-9,7.434651566593524e-7
limiter_nominal,limiter,8,1000,0.5,0.18,8,5.616197411484305e-9,8.399517199258514e-7
limiter_nominal,limiter,8,1000,0.5,0.19,8,5.616197411484305e-9,9.345277212316019e-7
limiter_nominal,limiter,8,1000,0.5,0.2,8,5.616197411484305e-9,0.0000010272309922381576
limiter_nominal,limiter,8,1000,0.5,0.21,8,5.616197411484305e-9,0.000001118098615489979
limiter_nominal,limiter,8,1000,0.5,0.22,8,5.616197411484305e-9,0.0000012071669392479533
limiter_nominal,limiter,8,1000,0.5,0.23,8,5.616197411484305e-9,0.0000012944715920291764
limiter_nominal,limiter,8,1000,0.5,0.24,8,5.616197411484305e-9,0.0000013800474968588387
limiter_nominal,limiter,8,1000,0.5,0.25,8,5.616197411484305e-9,0.0000014639288852398977
limiter_nominal,limiter,8,1000,0.5,0.26,8,5.616197411484305e-9,0.0000015461493108461409
limiter_nominal,limiter,8,1000,0.5,0.27,8,5.616197411484305e-9,0.0000016267416629440976
limiter_nominal,limiter,8,1000,0.5,0.28,8,5.616197411484305e-9,0.000001705738179549185
limiter_nominal,limiter,8,1000,0.5,0.29,8,5.616197411484305e-9,0.0000017831704603213458
limiter_nominal,limiter,8,1000,0.5,0.3,8,5.616197411484305e-9,0.0000018590694792053344
limiter_nominal,limiter,8,1000,0.5,0.31,8,5.616197411484305e-9,0.000001933465596820705
limiter_nominal,limiter,8,1000,0.5,0.32,8,5.616197411484305e-9,0.0000020063885726064646
limiter_nominal,limiter,8,1000,0.5,0.33,8,5.616197411484305e-9,0.0000020778675767252463
limiter_nominal,limiter,8,1000,0.5,0.34,8,5.616197411484305e-9,0.0000021479312017317643
limiter_nominal,limiter,8,1000,0.5,0.35000000000000003,8,5.616197411484305e-9,0.000002216607474010215
limiter_nominal,limiter,8,1000,0.5,0.36,8,5.616197411484305e-9,0.0000022839238649852073
limiter_nominal,limiter,8,1000,0.5,0.37,8,5.616197411484305e-9,0.0000023499073021106934
limiter_nominal,limiter,8,1000,0.5,0.38,8,5.616197411484305e-9,0.000002414584179641314
limiter_nominal,limiter,8,1000,0.5,0.39,8,5.616197411484305e-9,0.000002477980369190451
limiter_nominal,limiter,8,1000,0.5,0.4,8,5.616197411484305e-9,0.0000025401212300792194
limiter_nominal,limiter,8,1000,0.5,0.41000000000000003,8,5.616197411484305e-9,0.00000260103161948053
limiter_nominal,limiter,8,1000,0.5,0.42,8,5.616197411484305e-9,0.0000026607359023622923
limiter_nominal,limiter,8,1000,0.5,0.43,8,5.616197411484305e-9,0.000002719257961233726
limiter_nominal,limiter,8,1000,0.5,0.44,8,5.616197411484305e-9,0.0000027766212056986857
limiter_nominal,limiter,8,1000,0.5,0.45,8,5.616197411484305e-9,0.0000028328485818198107
limiter_nominal,limiter,8,1000,0.5,0.46,8,5.616197411484305e-9,0.000002887962581297257
limiter_nominal,limiter,8,1000,0.5,0.47000000000000003,8,5.616197411484305e-9,0.00000294198525046568
limiter_nominal,limiter,8,1000,0.5,0.48,8,5.616197411484305e-9,0.0000029949381991130574
limiter_nominal,limiter,8,1000,0.5,0.49,8,5.616197411484305e-9,0.0000030468426091248976
limiter_nominal,limiter,8,1000,0.5,0.5,8,5.616197411484305e-9,0.000003097719242957273
limiter_nominal,limiter,8,1000,0.5,0.51,8,5.616197411484305e-9,0.0000031475884519420813
limiter_nominal,limiter,8,1000,0.5,0.52,8,5.616197411484305e-9,0.0000031964701844278474
limiter_nominal,limiter,8,1000,0.5,0.53,8,5.616197411484305e-9,0.0000032443839937593317
limiter_nominal,limiter,8,1000,0.5,0.54,8,5.616197411484305e-9,0.0000032913490460991253
limiter_nominal,limiter,8,1000,0.5,0.55,8,5.616197411484305e-9,0.0000033373841280943726
limiter_nominal,limiter,8,1000,0.5,0.56,8,5.616197411484305e-9,0.0000033825076543916823
limiter_nominal,limiter,8,1000,0.5,0.5700000000000001,8,5.616197411484305e-9,0.000003426737675003227
limiter_nominal,limiter,8,1000,0.5,0.58,8,5.616197411484305e-9,0.0000034700918825269934
limiter_nominal,limiter,8,1000,0.5,0.59,8,5.616197411484305e-9,0.000003512587619224055
limiter_nominal,limiter,8,1000,0.5,0.6,8,5.616197411484305e-9,0.0000035542418839557083
limiter_nominal,limiter,8,1000,0.5,0.61,8,5.616197411484305e-9,0.0000035950713389832436
limiter_nominal,limiter,8,1000,0.5,0.62,8,5.616197411484305e-9,0.000003635092316633071
limiter_nominal,limiter,8,1000,0.5,0.63,8,5.616197411484305e-9,0.0000036743208258298714
limiter_nominal,limiter,8,1000,0.5,0.64,8,5.616197411484305e-9,0.0000037127725585003763
limiter_nominal,limiter,8,1000,0.5,0.65,8,5.616197411484305e-9,0.000003750462895850352
limiter_nominal,limiter,8,1000,0.5,0.66,8,5.616197411484305e-9,0.000003787406914517282
limiter_nominal,limiter,8,1000,0.5,0.67,8,5.616197411484305e-9,0.000003823619392601227
limiter_nominal,limiter,8,1000,0.5,0.68,8,5.616197411484305e-9,0.000003859114815576259
limiter_nominal,limiter,8,1000,0.5,0.6900000000000001,8,5.616197411484305e-9,0.000003893907382084849
limiter_nominal,limiter,8,1000,0.5,0.7000000000000001,8,5.616197411484305e-9,0.000003928011009617506
limiter_nominal,limiter,8,1000,0.5,0.71,8,5.616197411484305e-9,0.000003961439340079964
limiter_nominal,limiter,8,1000,0.5,0.72,8,5.616197411484305e-9,0.000003994205745250123
limiter_nominal,limiter,8,1000,0.5,0.73,8,5.616197411484305e-9,0.000004026323332126947
limiter_nominal,limiter,8,1000,0.5,0.74,8,5.616197411484305e-9,0.000004057804948173423
limiter_nominal,limiter,8,1000,0.5,0.75,8,5.616197411484305e-9,0.000004088663186455732
limiter_nominal,limiter,8,1000,0.5,0.76,8,5.616197411484305e-9,0.000004118910390680634
limiter_nominal,limiter,8,1000,0.5,0.77,8,5.616197411484305e-9,0.0000041485586601331205
limiter_nominal,limiter,8,1000,0.5,0.78,8,5.616197411484305e-9,0.000004177619854516291
limiter_nominal,limiter,8,1000,0.5,0.79,8,5.616197411484305e-9,0.000004206105598695385
limiter_nominal,limiter,8,1000,0.5,0.8,8,5.616197411484305e-9,0.000004234027287347888
limiter_nominal,limiter,8,1000,0.5,0.81,8,5.616197411484305e-9,0.000004261396089521554
limiter_nominal,limiter,8,1000,0.5,0.8200000000000001,8,5.616197411484305e-9,0.000004288222953102177
limiter_nominal,limiter,8,1000,0.5,0.8300000000000001,8,5.616197411484305e-9,0.0000043145186091928855
limiter_nominal,limiter,8,1000,0.5,0.84,8,5.616197411484305e-9,0.0000043402935764067285
limiter_nominal,limiter,8,1000,0.5,0.85,8,5.616197411484305e-9,0.000004365558165074263
limiter_nominal,limiter,8,1000,0.5,0.86,8,5.616197411484305e-9,0.00000439032248136782
limiter_nominal,limiter,8,1000,0.5,0.87,8,5.616197411484305e-9,0.000004414596431344113
limiter_nominal,limiter,8,1000,0.5,0.88,8,5.616197411484305e-9,0.000004438389724906793
limiter_nominal,limiter,8,1000,0.5,0.89,8,5.616197411484305e-9,0.00000446171187969053
limiter_nominal,limiter,8,1000,0.5,0.9,8,5.616197411484305e-9,0.000004484572224868202
limiter_nominal,limiter,8,1000,0.5,0.91,8,5.616197411484305e-9,0.0000045069799048826915
limiter_nominal,limiter,8,1000,0.5,0.92,8,5.616197411484305e-9,0.0000045289438831047754
limiter_nominal,limiter,8,1000,0.5,0.93,8,5.616197411484305e-9,0.0000045504729454186015
limiter_nominal,limiter,8,1000,0.5,0.9400000000000001,8,5.616197411484305e-9,0.000004571575703736152
limiter_nominal,limiter,8,1000,0.5,0.9500000000000001,8,5.616197411484305e-9,0.000004592260599442128
limiter_nominal,limiter,8,1000,0.5,0.96,8,5.616197411484305e-9,0.000004612535906770614
limiter_nominal,limiter,8,1000,0.5,0.97,8,5.616197411484305e-9,0.0000046324097361148836
limiter_nominal,limiter,8,1000,0.5,0.98,8,5.616197411484305e-9,0.000004651890037271662
limiter_nominal,limiter,8,1000,0.5,0.99,8,5.616197411484305e-9,0.000004670984602621151
limiter_nominal,limiter,8,1000,0.5,1,8,5.616197411484305e-9,0.00000468970107024409
limiter_nominal,limiter,8,1000,0.5,1.01,8,5.616197411484305e-9,0.000004708046926977084
limiter_nominal,limiter,8,1000,0.5,1.02,8,5.616197411484305e-9,0.000004726029511407438
limiter_nominal,limiter,8,1000,0.5,1.03,8,5.616197411484305e-9,0.000004743656016808701
limiter_nominal,limiter,8,1000,0.5,1.04,8,5.616197411484305e-9,0.000004760933494018051
limiter_nominal,limiter,8,1000,0.5,1.05,8,5.616197411484305e-9,0.000004777868854256745
limiter_nominal,limiter,8,1000,0.5,1.06,8,5.616197411484305e-9,0.000004794468871894686
limiter_nominal,limiter,8,1000,0.5,1.07,8,5.616197411484305e-9,0.0000048107401871602634
limiter_nominal,limiter,8,1000,0.5,1.08,8,5.616197411484305e-9,0.0000048266893087965376
limiter_nominal,limiter,8,1000,0.5,1.09,8,5.616197411484305e-9,0.000004842322616664822
limiter_nominal,limiter,8,1000,0.5,1.1,0,0,0.000004846425194384044
limiter_nominal,limiter,8,1000,0.5,1.11,0,0,0.000004750459545815675
limiter_nominal,limiter,8,1000,0.5,1.12,0,0,0.000004656394144405936
limiter_nominal,limiter,8,1000,0.5,1.1300000000000001,0,0,0.000004564191362740043
