scenario,mode,ueHighRms,releaseOhm,tauSeconds,vAtStartVolt,vAfter100msOnVolt,vAfter500msOnVolt,vAtEndOfOnVolt,vAfter500msReleaseVolt,vAtEndVolt
limiter_nominal,limiter,8,1000,0.5,1.1221169912666165e-8,0.0000010272309922381576,0.0000035542418839557083,0.000004846425194384044,0.0000017829001921892142,8.876537376160383e-8
limiter_nominal,limiter,8,10000,5,1.1231271658362744e-8,0.000001123090474764578,0.000005354680939814412,0.00001017840286929547,0.000009209799771983169,0.000006822787479915569
limiter_nominal,limiter,8,100000,50,1.1232282499723176e-8,0.000001133326831651211,0.000005599330313598209,0.000011120593557760971,0.000011009941803053294,0.000010684548847402083
limiter_nominal,limiter,12,1000,0.5,0.00007843902419771981,0.007180623525347853,0.024845115733026904,0.03387782789614714,0.012462956394536975,0.0006204940620805314
limiter_nominal,limiter,12,10000,5,0.00007850963814276524,0.007850707333720175,0.03743067354635382,0.0711497994569725,0.06437900083442374,0.04769313684742543
limiter_nominal,limiter,12,100000,50,0.00007851670419878332,0.007922262247491041,0.039140839090547885,0.0777359681708084,0.07696248236383928,0.07468789726079327
compressor_s7_17_to_19_zener_bypassed,compressor,8,1000,0.5,0.00023310528792343244,0.021339394918105506,0.07383477695795411,0.10067821351328593,0.037037444925407004,0.0018439858026722679
compressor_s7_17_to_19_zener_bypassed,compressor,8,10000,5,0.00023331513862157038,0.02333075165260068,0.1112365690857775,0.21144315164229133,0.19132167539339748,0.1417345831427842
compressor_s7_17_to_19_zener_bypassed,compressor,8,100000,50,0.00023333613754417115,0.023543398723971265,0.1163188433192257,0.23101594426757976,0.22871729721552422,0.22195767952809106
compressor_s7_17_to_19_zener_bypassed,compressor,12,1000,0.5,0.00037356787462197727,0.03419790463052014,0.11832550409765857,0.161344028605857,0.05935515107987239,0.0029551189647985475
compressor_s7_17_to_19_zener_bypassed,compressor,12,10000,5,0.0003739041753552108,0.03738919604028035,0.17826454759474686,0.33885275390374814,0.30660665093664397,0.22713979359606848
compressor_s7_17_to_19_zener_bypassed,compressor,12,100000,50,0.00037393782762862315,0.037729978161561206,0.18640925508097084,0.3702195521715156,0.3665358060781003,0.35570303589409397
