scenario,drive_v,cmd_dc_v,sag_v,source_ohm,source_current_ua,frequency_hz,command_model,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7763432990693117,-2.1989238242656066,0.7763163842549087,-2.1992249580041423,0.10125865881585766,27977.16000955273
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7919370246873926,-2.0261870479619044,0.7919326316269132,-2.0262352307632425,0.1032955606469887,27425.473876127726
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7949844548043106,-1.9928272698571177,0.7949844107042944,-1.992827751687777,0.1036936187875167,27320.19321120463
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7950141784277305,-1.9925025197506674,0.7950141766636639,-1.9925025390238928,0.10369750130395616,27319.170321569538
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7950152793668174,-1.9924904915013038,0.7950152791708095,-1.9924904936427754,0.10369764510923604,27319.132436032858
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0,0,0.7950153395745604,-1.9924898337054033,0.795015339464306,-1.9924898349099807,0.10369765297360517,27319.130364165892
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0.4588249623439046,0.45882496234390463,0.7583729704467096,-2.402343086053649,0.7583401478714193,-2.402719021704511,0.09891393233105471,26100.363479778764
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0.4588249623439046,0.45882496234390463,0.7759721076158669,-2.2030777842749965,0.7759667337158752,-2.203137937550384,0.1012130522238098,25507.392140367312
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0.4588249623439046,0.45882496234390463,0.7794305282877059,-2.164451760262435,0.7794304743084078,-2.1644523618019242,0.10166484447500973,25394.022962193634
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,false,true,0.4588249623439046,0.45882496234390463,0.7794642917287689,-2.16407551227039,0.7794642895695033,-2.16407553633197,0.10166925516123958,25392.921146744524
