scenario,vcmd,frequency_hz,command_model,zcmd_ohm,c4_f,c6_f,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,VCMD_NODE_db,input_impedance_mag
cmd_ideal_c4c6_0,0,100,ideal AC ground,0,0,0,0.011951479423285212,-38.45156663808087,0.011951393013858442,-38.45162943745753,0,-Infinity,1591812.2475634974
cmd_ideal_c4c6_0,0,1000,ideal AC ground,0,0,0,0.11812290913442408,-18.553317315163635,0.11812290059402329,-18.553317943161897,0,-Infinity,161055.7620853687
cmd_ideal_c4c6_0,0,10000,ideal AC ground,0,0,0,0.6488443108277114,-3.7571899795494272,0.6488443103585907,-3.75718998582941,0,-Infinity,29320.39854736594
cmd_ideal_c4c6_0,0,20000,ideal AC ground,0,0,0,0.7351450678625895,-2.6725390426526023,0.7351450677297103,-2.6725390442225967,0,-Infinity,25878.394088470362
cmd_ideal_c4c6_0,1,100,ideal AC ground,0,0,0,0.007107928573602612,-42.965138899963044,0.007107671537340118,-42.96545300398846,0,-Infinity,1591739.4497234805
cmd_ideal_c4c6_0,1,1000,ideal AC ground,0,0,0,0.07068048674293353,-23.014009367504038,0.07068046117880424,-23.01401250906766,0,-Infinity,160061.05136674206
cmd_ideal_c4c6_0,1,10000,ideal AC ground,0,0,0,0.4871168818858563,-6.247336378680658,0.4871168801240204,-6.247336410096347,0,-Infinity,23224.78580770618
cmd_ideal_c4c6_0,1,20000,ideal AC ground,0,0,0,0.6052432360387527,-4.361401107281299,0.605243235491482,-4.361401115135222,0,-Infinity,18691.96467236169
cmd_ideal_c4c6_0,2,100,ideal AC ground,0,0,0,0.001937100826427182,-54.256955471819744,0.0019348128268120684,-54.26722084250815,0,-Infinity,1591764.3908766306
cmd_ideal_c4c6_0,2,1000,ideal AC ground,0,0,0,0.019293767924475933,-34.29165899402677,0.019293538970743332,-34.29176206765453,0,-Infinity,159410.32653012505
cmd_ideal_c4c6_0,2,10000,ideal AC ground,0,0,0,0.16965613179611455,-15.408608784969983,0.16965611166255526,-15.408609815748433,0,-Infinity,18128.12700607249
cmd_ideal_c4c6_0,2,20000,ideal AC ground,0,0,0,0.2612349401543863,-11.659374733129187,0.2612349324040165,-11.659374990823878,0,-Infinity,11773.108575276194
cmd_ideal_c4c6_0,3,100,ideal AC ground,0,0,0,0.0010629090010652491,-59.470078303643234,0.0010581457650712107,-59.5090900372154,0,-Infinity,1591779.1692062381
cmd_ideal_c4c6_0,3,1000,ideal AC ground,0,0,0,0.010519716272111549,-39.5599194681285,0.010519236948397768,-39.560315243796225,0,-Infinity,159342.4688863652
cmd_ideal_c4c6_0,3,10000,ideal AC ground,0,0,0,0.09576628625455735,-20.375747077417103,0.09576624261198328,-20.375751035748195,0,-Infinity,17501.774989259808
cmd_ideal_c4c6_0,3,20000,ideal AC ground,0,0,0,0.15542984538400512,-16.16931170026924,0.15542982767587568,-16.169312689853104,0,-Infinity,10783.506833438398
cmd_10k_c4c6_0,0,100,finite command impedance 10000 Ohm,10000,0,0,0.017498534706297527,-35.13996633554584,0.01749847570081709,-35.13999562462426,0.005832825233605695,-44.682420719017514,1591973.3822381133
cmd_10k_c4c6_0,0,1000,finite command impedance 10000 Ohm,10000,0,0,0.17128012420768107,-15.325860615499483,0.17128011843204516,-15.325860908391242,0.05709337281068172,-24.868286002784494,162640.6368728278
cmd_10k_c4c6_0,0,10000,finite command impedance 10000 Ohm,10000,0,0,0.7518783267232724,-2.4770486750833296,0.7518783264697358,-2.477048678012248,0.2506261088232453,-12.019473772405496,37050.02068118864
cmd_10k_c4c6_0,0,20000,finite command impedance 10000 Ohm,10000,0,0,0.8100222912347187,-1.8300605896609465,0.8100222911664329,-1.8300605903931775,0.2700074303888109,-11.37248568478643,34390.5443704851
cmd_10k_c4c6_0,1,100,finite command impedance 10000 Ohm,10000,0,0,0.008759326964135877,-41.150585244198005,0.00875907136982917,-41.15083869932535,0.002919690456609722,-50.6932637937186,1591783.9822038242
cmd_10k_c4c6_0,1,1000,finite command impedance 10000 Ohm,10000,0,0,0.08694103057140454,-21.215504322512217,0.08694100519732338,-21.21550685752358,0.028980335065774458,-30.75793195191683,160361.57002758526
cmd_10k_c4c6_0,1,10000,finite command impedance 10000 Ohm,10000,0,0,0.5531713580529475,-5.1428062951006295,0.5531713564384921,-5.142806320450787,0.184390452146164,-14.685231414844038,25203.74635445484
cmd_10k_c4c6_0,1,20000,finite command impedance 10000 Ohm,10000,0,0,0.6607472689409736,-3.599292465137788,0.6607472684588684,-3.5992924714753274,0.22024908948628952,-13.141717565868575,21100.3377264233
cmd_10k_c4c6_0,2,100,finite command impedance 10000 Ohm,10000,0,0,0.0020417497671323054,-53.79994970544095,0.002039394264295656,-53.80997612930425,0.000679798088098552,-63.3524012236975,1591778.5153850086
cmd_10k_c4c6_0,2,1000,finite command impedance 10000 Ohm,10000,0,0,0.02033485072925553,-33.83518022491108,0.020334615040318735,-33.83528089837974,0.006778205013439577,-43.377705992772995,159420.77468180095
cmd_10k_c4c6_0,2,10000,finite command impedance 10000 Ohm,10000,0,0,0.1780345539333668,-14.989913984584518,0.17803453329749938,-14.989914991360301,0.0593448444324998,-24.532340085753546,18208.349487729483
cmd_10k_c4c6_0,2,20000,finite command impedance 10000 Ohm,10000,0,0,0.2725016000127122,-11.292618867772326,0.2725015921163393,-11.292619119466352,0.09083386403877976,-20.8350442138596,11896.13108854018
cmd_10k_c4c6_0,3,100,finite command impedance 10000 Ohm,10000,0,0,0.0010934344632965714,-59.22414483929613,0.0010885893246267947,-59.262718579111365,0.00036286310820893156,-68.80514367350462,1591787.6063670064
cmd_10k_c4c6_0,3,1000,finite command impedance 10000 Ohm,10000,0,0,0.010821818633438049,-39.31399497664588,0.010821331096573093,-39.31438629597389,0.003607110365524364,-48.85681139036714,159345.49545572654
cmd_10k_c4c6_0,3,10000,finite command impedance 10000 Ohm,10000,0,0,0.0984050458624421,-20.139652638277497,0.0984050015222936,-20.139656552037405,0.03280166717409787,-29.682081646430653,17521.928604011766
cmd_10k_c4c6_0,3,20000,finite command impedance 10000 Ohm,10000,0,0,0.1594147368647831,-15.949430667176932,0.15941471890716216,-15.949431645617981,0.05313823963572073,-25.49185674001123,10816.09514580835
cmd_100k_c4c6_0,0,100,finite command impedance 100000 Ohm,100000,0,0,0.05754704768001418,-24.799539039004436,0.057547029797028665,-24.799541738181347,0.04795585816419057,-26.383166659133845,1594597.0284200038
cmd_100k_c4c6_0,0,1000,finite command impedance 100000 Ohm,100000,0,0,0.4918207182060022,-6.1638636065771655,0.4918207166776481,-6.163863633568942,0.4098505972313734,-7.747488554521439,186580.84053194517
cmd_100k_c4c6_0,0,10000,finite command impedance 100000 Ohm,100000,0,0,0.9301381084933771,-0.6290512374501378,0.9301381084644724,-0.6290512377200577,0.7751150903870605,-2.2126761586725525,98656.66385847739
cmd_100k_c4c6_0,0,20000,finite command impedance 100000 Ohm,100000,0,0,0.9393515396182127,-0.5434369694779397,0.939351539610915,-0.5434369695454195,0.7827929496757626,-2.127061890497915,97689.01081138205
cmd_100k_c4c6_0,1,100,finite command impedance 100000 Ohm,100000,0,0,0.013444616577341532,-37.42903157535019,0.013444328436589301,-37.42921773057293,0.011203607030491084,-39.01284265152543,1591950.3347544724
