hypothesis,vcmd,frequency_hz,s6_zout_mag_ohm,s6_zout_phase_deg,VNA_mag,VNA_db,VCMD_NODE_mag,input_impedance_mag
core_all_branches,0,100,7496.048803599607,-1.767773046334657,0.01613159216605655,-35.84645532449852,0.004398139561905155,1592130.9083745799
core_all_branches,0,1000,7138.012942838078,-17.014874071056408,0.15360802555707154,-16.27172186264007,0.04074934362662203,163893.23025061193
core_all_branches,0,10000,2390.0675276165916,-68.88432893487715,0.6403650004638678,-3.8714482546296884,0.0729514779765682,31098.464817897067
core_all_branches,0,20000,1285.6150274364202,-77.42104251670803,0.7291144744150972,-2.744085600888818,0.046132695077468935,26490.122997236627
core_all_branches,1,100,7496.048803599607,-1.767773046334657,0.008403209609416228,-41.51109606585451,0.002291002240739983,1591828.485952198
core_all_branches,1,1000,7138.012942838078,-17.014874071056408,0.08238028990296317,-21.683533681183754,0.021853948315617478,160779.14851568668
core_all_branches,1,10000,2390.0675276165916,-68.88432893487715,0.48653014180648513,-6.257804977810636,0.055426347158642864,23917.307192805598
core_all_branches,1,20000,1285.6150274364202,-77.42104251670803,0.602515393883006,-4.400637053301249,0.038122489541562166,18953.63137945148
core_all_branches,2,100,7496.048803599607,-1.767773046334657,0.0020218016395843956,-53.88522911198989,0.0005505903575458442,1591778.9226919718
core_all_branches,2,1000,7138.012942838078,-17.014874071056408,0.02008796054148213,-33.94128306746521,0.005328899325011104,159447.84537032677
core_all_branches,2,10000,2390.0675276165916,-68.88432893487715,0.1704945664659303,-15.365789141812671,0.019423030832797197,18182.39019990146
core_all_branches,2,20000,1285.6150274364202,-77.42104251670803,0.2613651666467919,-11.65504586694765,0.016537155144663463,11798.589984743281
core_all_branches,3,100,7496.048803599607,-1.767773046334657,0.0010877151711375884,-59.26969628021624,0.0002952406142530148,1591786.9098159296
core_all_branches,3,1000,7138.012942838078,-17.014874071056408,0.010751963689683472,-39.370244218760234,0.002852166687040521,159353.25085723103
core_all_branches,3,10000,2390.0675276165916,-68.88432893487715,0.09609425189166335,-20.346051798427997,0.010947216838928197,17517.83577125273
core_all_branches,3,20000,1285.6150274364202,-77.42104251670803,0.15554206909892093,-16.163042562771924,0.009841491674470735,10791.461994456002
core_without_lr_bridge,0,100,14991.444060476702,-1.7541215369923675,0.020162693069329007,-33.90902921929559,0.008639072202339712,1592454.6608812667
core_without_lr_bridge,0,1000,14228.836658719742,-16.754856056143762,0.18706652537599347,-14.560078407685499,0.07857550236551394,166703.419811788
core_without_lr_bridge,0,10000,4966.543970790109,-65.32326151116585,0.6421700366036626,-3.8469992460621705,0.14155901121346015,33203.21999256808
core_without_lr_bridge,0,20000,2781.871951333381,-73.39365484187174,0.7265947925580681,-2.774154380261569,0.09641153239579299,27392.90093000899
core_without_lr_bridge,1,100,14991.444060476702,-1.7541215369923675,0.009380464416137598,-40.55551319324391,0.004019130281005156,1591886.2098861085
core_without_lr_bridge,1,1000,14228.836658719742,-16.754856056143762,0.09149221282965186,-20.772317368732352,0.038430418108316655,161231.6449116763
core_without_lr_bridge,1,10000,4966.543970790109,-65.32326151116585,0.492002040447139,-6.1606619221692345,0.10845620037960026,24678.7334025032
core_without_lr_bridge,1,20000,2781.871951333381,-73.39365484187174,0.6024299835941297,-4.401868419234087,0.07993616033733597,19320.201459488577
core_without_lr_bridge,2,100,14991.444060476702,-1.7541215369923675,0.002073648524907816,-53.66529705757579,0.0008874763768573357,1591787.0291301692
core_without_lr_bridge,2,1000,14228.836658719742,-16.754856056143762,0.020596777877166562,-33.724014291273996,0.008651379800931237,159461.9646659105
core_without_lr_bridge,2,10000,4966.543970790109,-65.32326151116585,0.17205286572649114,-15.28676178677362,0.03792707431105643,18233.894463667548
core_without_lr_bridge,2,20000,2781.871951333381,-73.39365484187174,0.26208587454185633,-11.63112770574098,0.034776054411628815,11830.637453338386
core_without_lr_bridge,3,100,14991.444060476702,-1.7541215369923675,0.0011024315259160183,-59.152967517299466,0.0004702716500090489,1591791.2733669435
core_without_lr_bridge,3,1000,14228.836658719742,-16.754856056143762,0.01089622738807506,-39.254476845123925,0.004576650448790583,159357.0105611293
core_without_lr_bridge,3,10000,4966.543970790109,-65.32326151116585,0.09664205708278317,-20.29667668824334,0.021303622192413323,17532.532392539844
core_without_lr_bridge,3,20000,2781.871951333381,-73.39365484187174,0.15586945485501577,-16.14477967026218,0.020682244689454985,10801.193191023216
core_without_m0_shunt,0,100,7497.200204712243,-1.5656102248429993,0.0161327145993338,-35.84585098288678,0.00439885860140539,1592107.9005509547
