scenario,drive_v,cmd_dc_v,source_ohm,frequency_hz,bjt_stamp_mode,all_diodes_in_range,any_diode_out_of_range,max_residual,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VCMD_mag,input_impedance_ohm
rsource_3k,0,0,3000,40,NONE_GUARDED,false,true,0,0.7763432990693117,-2.1989238242656066,11.974191957492204,0.7763163842549087,-2.1992249580041423,0.10125865881585766,27977.16000955273
rsource_3k,0,0,3000,100,NONE_GUARDED,false,true,0,0.7919370246873926,-2.0261870479619044,4.8564897890909675,0.7919326316269132,-2.0262352307632425,0.1032955606469887,27425.473876127726
rsource_3k,0,0,3000,1000,NONE_GUARDED,false,true,0,0.7949844548043106,-1.9928272698571177,0.486945444560632,0.7949844107042944,-1.992827751687777,0.1036936187875167,27320.19321120463
rsource_3k,0,0,3000,5000,NONE_GUARDED,false,true,0,0.7950141784277305,-1.9925025197506674,0.09739161504747622,0.7950141766636639,-1.9925025390238928,0.10369750130395616,27319.170321569538
rsource_3k,0,0,3000,15000,NONE_GUARDED,false,true,0,0.7950152793668174,-1.9924904915013038,0.03246390278283297,0.7950152791708095,-1.9924904936427754,0.10369764510923604,27319.132436032858
rsource_3k,1,0.9773555249174533,3000,40,NONE_GUARDED,true,false,1.21452847778869e-10,0.6132316822017083,-4.247508314124444,19.14333939005815,0.6130357891310231,-4.250283411151944,0.07996118988665521,17370.0962349375
rsource_3k,1,0.9773555249174533,3000,100,NONE_GUARDED,true,false,1.21452847778869e-10,0.6479492974966824,-3.769179533172096,7.973898150177574,0.6479161303646813,-3.769624156575177,0.08451079961278454,16429.737633235254
rsource_3k,1,0.9773555249174533,3000,1000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6551923234366277,-3.6726239926158617,0.8038637245636041,0.65519198796262,-3.672628439998484,0.08545982451686349,16246.307311793036
rsource_3k,1,0.9773555249174533,3000,5000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6552637689474706,-3.6716768905701875,0.16078547300970691,0.6552637555270102,-3.6716770684659368,0.08546918550352312,16244.518442654819
rsource_3k,1,0.9773555249174533,3000,15000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6552664155324079,-3.6716418086698157,0.05359531475797686,0.6552664140412395,-3.6716418284360106,0.08546953226624866,16244.45218445513
rsource_3k,3,2.8527854160181074,3000,40,NONE_GUARDED,true,false,1.5788881313483216e-10,0.2905714746969228,-10.734940449747059,27.077174472442376,0.288401219683055,-10.800058145314281,0.037617550393441966,10756.173263873912
rsource_3k,3,2.8527854160181074,3000,100,NONE_GUARDED,true,false,1.5788881313483216e-10,0.3410093536723695,-9.344674168385668,12.637140873581048,0.3405913593320325,-9.35532748225513,0.04442495991287382,9039.838833203201
rsource_3k,3,2.8527854160181074,3000,1000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.35428270857063954,-9.013000874059676,1.3083147095484313,0.3542783447540841,-9.013107861675842,0.0462102188809675,8678.175238212469
rsource_3k,3,2.8527854160181074,3000,5000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.35441984345288646,-9.009639411724903,0.2617539334515802,0.3544196688244013,-9.009643691406616,0.046228652455356706,8674.59429532241
rsource_3k,3,2.8527854160181074,3000,15000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.354424925852973,-9.009514856481891,0.08725243505103598,0.35442490644949576,-9.009515332002811,0.046229335623847276,8674.4616393874
rsource_3k,8,7.507203849946799,3000,40,NONE_GUARDED,true,false,1.6676970915341371e-10,0.14221324749384998,-16.941198923671813,18.448536536705312,0.13523436665223126,-17.37825857161347,0.017639265215508425,9349.597539475375
rsource_3k,8,7.507203849946799,3000,100,NONE_GUARDED,true,false,1.6676970915341371e-10,0.1672798875209828,-15.531125444199002,10.071965203914084,0.16573605450860437,-15.611660082567152,0.021617746240252752,7261.734610683681
rsource_3k,8,7.507203849946799,3000,1000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.1753570496170278,-15.1215354028086,1.0871603826806397,0.1753403101677284,-15.12236459074099,0.022870475239268925,6796.430852201169
rsource_3k,8,7.507203849946799,3000,5000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.17544450030917885,-15.117204822874214,0.217601994241959,0.1754438301740187,-15.117237999925361,0.022883977848785052,6791.76261598384
rsource_3k,8,7.507203849946799,3000,15000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.17544774300306332,-15.117044285377315,0.07253609782625377,0.1754476685413057,-15.117047971755579,0.022884478505387704,6791.589656671565
rsource_10k,0,0,10000,40,NONE_GUARDED,false,true,0,0.8194275234979047,-1.7297890550943729,9.848345266203712,0.8194102544405811,-1.7299721081434187,0.2731367514801937,33996.57457480459
rsource_10k,0,0,10000,100,NONE_GUARDED,false,true,0,0.8304676696201557,-1.6135454022136655,3.97611392565072,0.8304648692700652,-1.613574691220009,0.2768216230900217,33544.03401426689
rsource_10k,0,0,10000,1000,NONE_GUARDED,false,true,0,0.8326000623467353,-1.5912712185682512,0.3983183261123144,0.8326000342711892,-1.5912715114592924,0.27753334475706304,33458.01186140155
rsource_10k,0,0,10000,5000,NONE_GUARDED,false,true,0,0.8326208207201982,-1.5910546647851385,0.07966504054374378,0.8326208195971484,-1.5910546765007791,0.27754027319904945,33457.176624441214
rsource_10k,0,0,10000,15000,NONE_GUARDED,false,true,0,0.8326215895787096,-1.59104664406679,0.026555030405603218,0.8326215894539261,-1.591046645368529,0.27754052981797533,33457.145689338766
rsource_10k,1,0.9322991616010975,10000,40,NONE_GUARDED,true,false,1.21452847778869e-10,0.6586598815600864,-3.6267757655612023,17.18629360345991,0.6585020035964062,-3.628857985811924,0.2195006678654687,19342.49023022902
rsource_10k,1,0.9322991616010975,10000,100,NONE_GUARDED,true,false,1.21452847778869e-10,0.6883939455439283,-3.2432591593481686,7.1008323802529905,0.6883675100757101,-3.2435927183079505,0.22945583669190334,18497.996611116916
rsource_10k,1,0.9322991616010975,10000,1000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6944730629875494,-3.166891897670412,0.7146367009776347,0.6944727962323392,-3.1668952340226553,0.23149093207744634,18334.384244932666
rsource_10k,1,0.9322991616010975,10000,5000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6945328142865914,-3.166144610422717,0.14293626709384105,0.6945328036154392,-3.166144743877104,0.23151093453847976,18332.790542543233
rsource_10k,1,0.9322991616010975,10000,15000,NONE_GUARDED,true,false,1.21452847778869e-10,0.6945350275980681,-3.166116930595078,0.04764553250925336,0.6945350264123804,-3.1661169454233473,0.2315116754707934,18332.73151386438
rsource_10k,3,2.5752708166366647,10000,40,NONE_GUARDED,true,false,1.5788881313483216e-10,0.322544102063818,-9.828217901289634,26.709202884488867,0.320678524330924,-9.87860247133279,0.1068928414436413,11148.543785257702
rsource_10k,3,2.5752708166366647,10000,100,NONE_GUARDED,true,false,1.5788881313483216e-10,0.37449863739854317,-8.530995162567747,12.279404243707695,0.3741449821754975,-8.53920149836086,0.12471499405849917,9497.555922370959
rsource_10k,3,2.5752708166366647,10000,1000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.38779060214818417,-8.228054399454695,1.2664382474496776,0.38778692590013464,-8.228136741925141,0.1292623086333782,9152.86979257645
rsource_10k,3,2.5752708166366647,10000,5000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.3879270851675007,-8.224997935808526,0.2533658026676836,0.38792693806030276,-8.22500122961599,0.12930897935343424,9149.463743407068
rsource_10k,3,2.5752708166366647,10000,15000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.38793214307561613,-8.224884687347744,0.08445623282027129,0.38793212673013594,-8.224885053326801,0.12931070891004534,9149.337569061667
rsource_10k,8,6.588208595504012,10000,40,NONE_GUARDED,true,false,1.6676970915341371e-10,0.15710066729586056,-16.076439405210138,20.36594518059676,0.150921487261581,-16.42497847356672,0.05030716242052701,9478.650985375378
rsource_10k,8,6.588208595504012,10000,100,NONE_GUARDED,true,false,1.6676970915341371e-10,0.186594547307222,-14.582021028401822,10.853564268731606,0.1852585117656381,-14.644436581636597,0.0617528372552127,7424.39324255492
rsource_10k,8,6.588208595504012,10000,1000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.19583828787617533,-14.162047927085643,1.1634294636454263,0.1958238906312244,-14.162686502305078,0.06527463021040812,6969.41793054269
rsource_10k,8,6.588208595504012,10000,5000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.19593771123688197,-14.15763938567914,0.23285071730019433,0.19593713490516848,-14.157664934415974,0.0653123783017228,6964.860436853444
rsource_10k,8,6.588208595504012,10000,15000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.19594139761203883,-14.157475970753184,0.07761894242799176,0.19594133357336135,-14.157478809525301,0.06531377785778712,6964.691583475602
