case,detectorScenario,status,time,ueRms,detectorAverageCurrentAmp,vCapEquivalentVolt,detectorToDriveScale,driveVolt,cmdVolt,sourceCurrentAmp,maxResidual
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.01,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.02,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.03,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.04,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.05,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.06,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.07,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.08,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.09,0,0,0,1,0,0,0,0
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.1,12,0.000039258744684128716,0.00007850963814276524,1,0.00007850963814276524,0.0000766402394894714,1.86927413389033e-10,1.245194035094611e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.11,12,0.000039258744684128716,0.0008627430177582385,1,0.0008627430177582385,0.0008422013764517062,2.054149698662829e-9,1.4431990400919775e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.12,12,0.000039258744684128716,0.00164540949803621,1,0.00164540949803621,0.0016062329408139916,3.917641319066195e-9,1.440315564298772e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.13,12,0.000039258744684128716,0.0024265122096434055,1,0.0024265122096434055,0.0023687379690916417,5.777409680798265e-9,1.437437812008835e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.14,12,0.000039258744684128716,0.0032060542769919986,1,0.0032060542769919986,0.003129719511303546,7.633462223187187e-9,1.4345658081588164e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.15,12,0.000039258744684128716,0.003984038818251212,1,0.003984038818251212,0.003889180611370061,9.48580637111971e-9,1.4316995419066947e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.16,12,0.000039258744684128716,0.00476046894536003,1,0.00476046894536003,0.004647124307122067,1.1334449535406206e-8,1.428839008915661e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.17,12,0.000039258744684128716,0.005535347764040244,1,0.005535347764040244,0.005403553630309552,1.3179399113227331e-8,1.4259841831648634e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.18,12,0.000039258744684128716,0.006308678373808108,1,0.006308678373808108,0.006158471606608625,1.502066248859754e-8,1.423135073327919e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.19,12,0.000039258744684128716,0.007080463867987108,1,0.007080463867987108,0.0069118812556305635,1.6858247032737993e-8,1.4202916447103586e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.2,12,0.000039258744684128716,0.007850707333720175,1,0.007850707333720175,0.00766378559093308,1.869216010417056e-8,1.417453897312182e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.21,12,0.000039258744684128716,0.008619411851982173,1,0.008619411851982173,0.008414187620036559,2.052240904834319e-8,1.4146218224597717e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.22,12,0.000039258744684128716,0.009386580497592278,1,0.009386580497592278,0.009163090344445754,2.234900119669845e-8,1.4117954028058932e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.23,12,0.000039258744684128716,0.010152216339226083,1,0.010152216339226083,0.009910496759675322,2.4171943865329734e-8,1.4089746383505464e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.24,12,0.000039258744684128716,0.010916322439427861,1,0.010916322439427861,0.010656409855275507,2.599124435364048e-8,1.4061594943992617e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.25,12,0.000039258744684128716,0.01167890185462317,1,0.01167890185462317,0.011400832614853602,2.780690994345688e-8,1.403349988299274e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.26,12,0.000039258744684128716,0.012439957635130672,1,0.012439957635130672,0.012143768016087573,2.961894789884883e-8,1.4005461027033483e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.27,12,0.000039258744684128716,0.01319949282517452,1,0.01319949282517452,0.01288521903073395,3.1427365466578895e-8,1.3977478029170154e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.28,12,0.000039258744684128716,0.013957510462896394,1,0.013957510462896394,0.013625188624631942,3.32321698768942e-8,1.3949551062875098e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.29,12,0.000039258744684128716,0.014714013580368113,1,0.014714013580368113,0.014363679757707654,3.503336834436606e-8,1.3921679781203622e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.3,12,0.000039258744684128716,0.015469005203602781,1,0.015469005203602781,0.015100695383978189,3.683096806859493e-8,1.3893864357628072e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.31,12,0.000039258744684128716,0.016222488352568065,1,0.016222488352568065,0.015836238451559764,3.8624976234725994e-8,1.3866104098259058e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.32,12,0.000039258744684128716,0.016974466041197622,1,0.016974466041197622,0.01657031190267568,4.0415400013794206e-8,1.3838399870458318e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.33,12,0.000039258744684128716,0.017724941277403206,1,0.017724941277403206,0.017302918673666727,4.2202246562897044e-8,1.3810750806864114e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.34,12,0.000039258744684128716,0.018473917063086653,1,0.018473917063086653,0.018034061695001505,4.398552302535795e-8,1.3783156907476446e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.35000000000000003,12,0.000039258744684128716,0.019221396394152213,1,0.019221396394152213,0.018763743891288216,4.576523653078146e-8,1.3755618172295314e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.36,12,0.000039258744684128716,0.019967382260518196,1,0.019967382260518196,0.01949196818128577,4.75413941951084e-8,1.3728134254376023e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.37,12,0.000039258744684128716,0.020711877646128918,1,0.020711877646128918,0.02021873747791478,4.9314003120708506e-8,1.3700705153718573e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.38,12,0.000039258744684128716,0.021454885528967127,1,0.021454885528967127,0.020944054688269532,5.1083070396427954e-8,1.3673331564212354e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.39,12,0.000039258744684128716,0.02219640888106522,1,0.02219640888106522,0.021667922713627857,5.2848603097724323e-8,1.3646012098078586e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.4,12,0.000039258744684128716,0.022936450668517627,1,0.022936450668517627,0.02239034444946226,5.4610608286789764e-8,1.3618747102261963e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.41000000000000003,12,0.000039258744684128716,0.02367501385149251,1,0.02367501385149251,0.023111322877471495,5.6369093237149115e-8,4.164952410734557e-11
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.42,12,0.000039258744684128716,0.02441210138424349,1,0.02441210138424349,0.023830860605483572,5.812406431161231e-8,1.356437948074607e-10
limiter_nominal_12vrms_scale1_r10k,limiter_nominal,BOUNDED_QUASI_STATIC,0.43,12,0.000039258744684128716,0.02514771621512174,1,0.02514771621512174,0.024548960787679784,5.9875529206916e-8,1.353727963060436e-10
